image_id,caption_raw,facts
F015.jpg,"Terdapat lemari pendingin berisi minuman di dekat dinding bata merah. Sebuah meja dengan dua kursi berada di sampingnya, sementara di kanan, seseorang duduk di dekat jendela.","{""q1"": ""1 lemari pendingin, 1 meja, 2 kursi, dan 1 orang"", ""q2"": ""Seseorang sedang duduk di dekat jendela"", ""q3"": ""Merah (bata), putih (lemari), dan cokelat (meja)""}"
F012.jpg,"Seseorang duduk di meja dengan laptop, sementara di belakangnya terdapat area Food Corner.","{""q1"": ""1 orang dan 1 laptop di atas meja"", ""q2"": ""Seseorang sedang duduk bekerja atau bersantai"", ""q3"": ""Hitam (laptop) dan cokelat (meja)""}"
F009.jpg,"Di dalam toko kopi terdapat seorang barista sedang bekerja, di bagian depan counter terdapat beberapa tanaman gantung dan tas hitam.","{""q1"": ""1 barista, beberapa tanaman gantung, dan 1 tas"", ""q2"": ""Barista sedang bekerja menyiapkan kopi di counter"", ""q3"": ""Hitam (tas), hijau (tanaman), dan abu-abu (dinding)""}"
F016.jpg,"Beberapa orang duduk di meja panjang dekat jendela dan terdapat laptop di depannya. Di bagian tengah, ada dua kursi kayu dengan meja di depannya.","{""q1"": ""Beberapa orang, 2 kursi kayu, dan 1 meja panjang"", ""q2"": ""Beberapa orang sedang duduk bekerja dengan laptop"", ""q3"": ""Cokelat (kayu) dan hitam (laptop)""}"
TC617.jpg,Banyak mahasiswa sedang belajar dan membuka laptopnya di kelas.,"{""q1"": ""Banyak mahasiswa (pria dan wanita) dan beberapa laptop"", ""q2"": ""Mahasiswa sedang belajar aktif di dalam kelas"", ""q3"": ""Warna alami ruangan dan hitam/silver (laptop)""}"
TC170.jpg,"Rak buku ini berisi berbagai buku teknik dan pemrograman, menciptakan suasana belajar yang mendalam.","{""q1"": ""1 rak buku dan banyak buku teknik"", ""q2"": ""Buku-buku tersusun rapi untuk referensi belajar"", ""q3"": ""Warna-warni (sampul buku) dan cokelat (rak kayu)""}"
TC525.jpg,"Sekelompok pria berkumpul membaca Al-Qur'an, menciptakan suasana tenang dan penuh kedamaian.","{""q1"": ""Sekelompok pria"", ""q2"": ""Para pria sedang berkumpul dan membaca Al-Qur'an"", ""q3"": ""Putih (pakaian) dan warna alami ruangan""}"
TC613.jpg,Tiga orang mahasiswa berpose ceria di depan papan nama Departemen Teknik Informatika.,"{""q1"": ""3 mahasiswa (pria/wanita)"", ""q2"": ""Para mahasiswa sedang berpose ceria bersama"", ""q3"": ""Warna-warni (pakaian) dan biru/putih (papan nama)""}"
TC611.jpg,Tiga mahasiswa berpose ceria di depan papan nama Departemen Teknik Informatika.,"{""q1"": ""3 mahasiswa"", ""q2"": ""Para mahasiswa berpose sambil menunjukkan kartu identitas"", ""q3"": ""Warna-warni (pakaian) dan putih (kartu)""}"
TC609.jpg,Sekelompok mahasiswa bersemangat berpose di depan Plaza Prof. Supeno Djanali.,"{""q1"": ""Sekelompok mahasiswa"", ""q2"": ""Mahasiswa berpose bersama di area plaza"", ""q3"": ""Abu-abu (lantai plaza) dan warna-warni (pakaian)""}"
