image_id,caption_raw,facts  
F091.jpg,"Bendera kuning berkibar di bawah langit biru, dikelilingi kabel listrik yang menambah kesan dinamis.","{""q1"": ""Satu bendera kuning"", ""q2"": ""Berkibar ditiup angin"", ""q3"": ""Kuning dan biru (langit)""}"
F118.jpg,"Spanduk ""Kawasan Tanpa Rokok"" terpasang di depan beserta sepeda dan anak-anak kecil sedang bermain.","{""q1"": ""Beberapa anak kecil dan satu spanduk"", ""q2"": ""Anak-anak sedang bermain di depan spanduk"", ""q3"": ""Putih dan merah (spanduk)""}"
F148.jpg,"Seorang pengendara motor di dekat tulisan ENTER, dikelilingi oleh taman hijau.","{""q1"": ""Satu pria pengendara motor"", ""q2"": ""Berada di dekat papan petunjuk"", ""q3"": ""Hijau (taman)""}"
F152.jpg,"Bangunan ""Teknik Informatika"" dikelilingi oleh pepohonan dan taman hijau.","{""q1"": ""Satu gedung Teknik Informatika"", ""q2"": ""Berdiri di tengah taman"", ""q3"": ""Hijau (pohon) dan putih (bangunan)""}"
TC513.jpg,Gedung Teknik Informatika yang modern ini menjadi pusat aktivitas mahasiswa di lingkungan yang cerah.,"{""q1"": ""Mahasiswa di depan gedung"", ""q2"": ""Berjalan atau beraktivitas di area kampus"", ""q3"": ""Cerah alami""}"
TC253.jpg,Tanda batas parkir untuk mahasiswa dan tamu menciptakan keteraturan di area yang hijau.,"{""q1"": ""Satu tanda batas parkir"", ""q2"": ""Menandai area parkir luar ruangan"", ""q3"": ""Hijau (tanaman) dan putih""}"
N0291.jpg,Sepeda motor dengan warna hitam yang dikendarai seseorang memakai baju abu-abu.,"{""q1"": ""Satu orang dan satu motor"", ""q2"": ""Sedang berkendara"", ""q3"": ""Hitam (motor) dan abu-abu (baju)""}"
N0297.jpg,Sebuah tong sampah dengan ukuran sedang memiliki warna merah.,"{""q1"": ""Satu tong sampah"", ""q2"": ""Terletak di area luar ruangan"", ""q3"": ""Merah""}"
N0435.jpg,Tempat sampah dengan warna hijau yang memiliki bentuk tabung dengan lubang di bagian depannya.,"{""q1"": ""Satu tempat sampah tabung"", ""q2"": ""Berada di lokasi taman"", ""q3"": ""Hijau""}"
N0294.jpg,Sebuah pot dengan ukuran sedang berisi tumbuhan hias di dalamnya.,"{""q1"": ""Satu pot tanaman"", ""q2"": ""Berada di area terbuka"", ""q3"": ""Hijau (daun)""}"
